melting_point,0-norm,2-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData range Row,MagpieData avg_dev Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData minimum NpValence,MagpieData range NpValence,MagpieData minimum NdValence,MagpieData mean NdValence,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData mode NpUnfilled,MagpieData mean NdUnfilled,MagpieData maximum NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData mode SpaceGroupNumber,compound possible,Yang delta,Yang omega,APE mean,Radii gamma,Total weight,Lambda entropy,Electronegativity delta,Mixing enthalpy,Mean cohesive energy,Interant electrons,Shear modulus local mismatch
61.0,3,0.6281719509815764,48,83,35,60.06,15.1404,70,5.3922,1,0.4422,142,148,6,2.442000000000004,1.69,2.02,0.33,0.115632,2,2.0,0,3,10,10.0,0,5,5,0.0,5,19.495,32.95,13.455000000000002,4.345902000000001,194,182,105.89,139,False,0.0199538785219344,8.910075976842311,0.0007077082013108,1.0270690616596685,14550.6472,-20.93292766,0.0283295151932608,0.4619999999999999,2.1902,4,3.7956198
61.6,3,0.6534278843147114,49,83,34,57.008,11.956319999999998,75,4.03908,1,0.3542000000000002,139,148,9,2.384640000000001,1.78,2.02,0.24,0.1036425599999999,2,2.0,1,2,10,10.0,3,5,5,0.0,5,24.26,33.285,9.024999999999997,4.301445599999998,141,129,110.166,139,False,0.0188099582258483,10.433432186771018,0.0077979815438707,1.027131851397008,137.207048,-22.72885997,0.0307922443122462,0.36248,2.55836,6,3.0725107120000006
62.0,3,0.6268572405261026,49,83,34,60.215,14.810250000000002,75,4.488,1,0.4387500000000001,139,148,9,2.954250000000004,1.78,2.02,0.24,0.1098539999999999,2,2.0,1,2,10,10.0,3,5,5,0.0,5,24.26,33.285,9.024999999999997,4.3996425,141,129,98.055,139,False,0.0208464406241243,8.940720493540445,0.0010719723104838,1.0270908732472663,14606.296,-19.24581206,0.0310689863267868,0.4485,2.5118,6,3.04975005
62.5,3,0.6268572405261026,49,83,34,60.215,14.810250000000002,75,4.488,1,0.4387500000000001,139,148,9,2.954250000000004,1.78,2.02,0.24,0.1098539999999999,2,2.0,1,2,10,10.0,3,5,5,0.0,5,24.26,33.285,9.024999999999997,4.3996425,141,129,98.055,139,False,0.0208464406241243,8.940720493540445,0.0010719723104838,1.0270908732472663,14606.296,-19.24581206,0.0310689863267868,0.4485,2.5118,6,3.04975005
68.1,2,0.7072481884034769,49,83,34,65.66,16.9932,75,5.4978,1,0.4997999999999999,142,148,6,2.9988,1.78,2.02,0.24,0.119952,2,2.0,1,2,10,10.0,3,5,5,0.0,5,24.26,32.95,8.690000000000001,4.343262000000001,139,127,76.77,139,False,0.022087356750527,2.800633425909756,-0.01066055,1.027020071121591,16095.7576,-11.80925912,0.0310689863267868,0.9996,2.3534,4,2.2795878000000003
69.59,4,0.5584465059430491,48,83,35,73.1301,13.61965446,70,3.962961639999999,1,0.4052134200000001,139,148,9,2.332248119999999,1.69,2.33,0.6400000000000001,0.1532661212,2,2.0,0,3,10,10.000000000000002,0,4,3,0.0,4,19.495,33.285,13.789999999999996,3.8024743061000006,225,213,114.1614,12,False,0.0420724069639885,5.283638786943893,0.0039400770548859,1.0723829498898212,18212.710266,-5.955260352,0.0088075011105298,1.1196018,2.13254,7,3.300162488
70.0,4,0.59074359920358,48,83,35,74.844,11.977304000000004,70,3.733,1,0.3574219999999998,139,148,9,2.200953999999985,1.69,2.33,0.6400000000000001,0.1432241400000001,2,2.0,0,3,10,10.0,0,4,3,0.0,4,19.495,33.285,13.789999999999996,3.3721328500000003,225,213,104.228,12,False,0.0406503957899086,5.777849535659321,0.0044878022005044,1.0723533359140085,18684.213,-6.026104101,0.0081180643973312,0.963688,2.16563,7,2.969924284
70.0,3,0.6216108107168021,49,83,34,75.26,11.554399999999996,75,3.8688,1,0.3431999999999998,142,148,6,1.9136,1.78,2.33,0.55,0.146744,2,2.0,1,2,10,10.0,3,5,3,0.0,5,24.26,32.95,8.690000000000001,3.297008000000001,225,213,95.32,12,False,0.0413370999111353,6.616757686583591,0.0049210275972467,1.0723845178732816,18780.1768,-4.979328297,0.0242218659369099,0.6864,2.2158,6,2.1467472
71.9,4,0.5380334562088123,48,83,35,70.836,15.300544,70,4.036864,1,0.4561919999999999,139,148,9,2.755232000000004,1.69,2.33,0.6400000000000001,0.14006304,2,2.0,0,3,10,10.0,0,4,3,0.0,4,19.495,33.285,13.789999999999996,4.0141916,225,213,115.198,12,False,0.0419102836453595,4.915194161014393,0.0068581731678954,1.0725375235100216,175.79692440000002,-6.217223278,0.0091058665642598,1.23904,2.17028,7,3.360155384
72.0,2,0.7437324787852148,49,83,34,60.458,15.193308,75,4.915482000000003,1,0.4468620000000002,142,148,6,2.681172000000006,1.78,2.02,0.24,0.1072468800000001,2,2.0,1,2,10,10.0,3,5,5,0.0,5,24.26,32.95,8.690000000000001,3.88323078,139,127,96.20099999999998,139,False,0.0210270412956518,2.7843875060272425,0.0002208594785354,1.0270857081832985,14655.07288,-12.01633099,0.0296595899142381,0.893724,2.40542,4,2.038137582
72.14,4,0.59074359920358,48,83,35,74.844,11.977304000000004,70,3.733,1,0.3574219999999998,139,148,9,2.2009539999999848,1.69,2.33,0.6400000000000001,0.1432241399999999,2,2.0,0,3,10,10.0,0,4,3,0.0,4,19.495,33.285,13.789999999999996,3.372132850000001,225,213,104.228,12,False,0.0406503957899086,5.777849535659321,0.0044878022005044,1.0723533359140085,18684.213000000003,-6.026104101,0.0081180643973312,0.963688,2.16563,7,2.969924284
